"decision","reason","flag","stage","year","title","venue","methods","tasks","cites","doi","doc_id"
"","","","design","2016","Practical ILP-based routing of standard cells","Proceedings of the 2016 Design Automation and Test in Europe Conference and Exhibition Date 2016","symbolic_reasoning","routing:routing","14","","2-s2.0-84973637647"
"","","","design","2017","Efficient Bayesian Yield Optimization Approach for Analog and SRAM Circuits","Proceedings Design Automation Conference","bayesian_probabilistic","yield_prediction:yield optimization","29","10.1145/3061639.3062234","2-s2.0-85023616954"
"","","","design","2017","Efficient yield optimization method using a variable K-Means algorithm for analog IC sizing","Proceedings of the 2017 Design Automation and Test in Europe Date 2017","classical_ml","analog_circuit_design:ic sizing; yield_prediction:yield optimization","17","10.23919/DATE.2017.7927171","2-s2.0-85020206846"
"","","","design","2017","Knob non-idealities in learning-based post-production tuning of analog/RF ICs: Impact & remedies","Proceedings of the IEEE VLSI Test Symposium","general_ml_signals","analog_circuit_design:rf ic","1","10.1109/VTS.2017.7928952","2-s2.0-85020172789"
"","","","design","2017","Soft error rate estimation with TCAD and machine learning","International Conference on Simulation of Semiconductor Processes and Devices SISPAD","classical_ml","reliability_analysis:soft error","17","10.23919/SISPAD.2017.8085281","2-s2.0-85039054887"
"","","","design","2018","Batch Bayesian optimization via multi-objective acquisition ensemble for automated analog circuit design","35th International Conference on Machine Learning Icml 2018","bayesian_probabilistic","analog_circuit_design:analog circuit","48","","2-s2.0-85057288504"
"","","","design","2018","Calibrating process variation at system level with in-situ low-precision transfer learning for analog neural network processors","Proceedings Design Automation Conference","deep_learning; transfer_learning","process_optimization:process variation","22","10.1145/3195970.3196004","2-s2.0-85053705786"
"","","","design","2018","Enhanced analog and RF IC sizing methodology using PCA and NSGA-II optimization kernel","Proceedings of the 2018 Design Automation and Test in Europe Conference and Exhibition Date 2018","evolutionary_optimization","analog_circuit_design:ic sizing","13","10.23919/DATE.2018.8342092","2-s2.0-85048842962"
"","","","design","2018","HFMV: Hybridizing formal methods and machine learning for verification of analog and mixed-signal circuits","Proceedings Design Automation Conference","classical_ml","analog_circuit_design:mixed-signal circuit; verification:verification","8","10.1145/3195970.3196059","2-s2.0-85053687112"
"","","","design","2018","Machine learning and systems for building the next generation of EDA tools","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","logic_synthesis:eda","20","10.1109/ASPDAC.2018.8297358","2-s2.0-85045320632"
"","","","design","2018","Machine learning based generic violation waiver system with application on electromigration sign-off","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","reliability_analysis:electromigration","4","10.1109/ASPDAC.2018.8297359","2-s2.0-85045301405"
"","","","design","2018","Machine learning for design space exploration and optimization of manycore systems","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","classical_ml","design_space_exploration:design space exploration","48","10.1145/3240765.3243483","2-s2.0-85058161673"
"","","","design","2018","Multi-objective bayesian optimization for analog/RF circuit synthesis yangfan@fudan.edu.cn, xzeng@fudan.edu.cn","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:circuit synthesis","3","10.1145/3195970.3196078","2-s2.0-85053708702"
"","","","design","2018","On the use of Bayesian Networks for Resource-Efficient Self-Calibration of Analog/RF ICs","Proceedings International Test Conference","bayesian_probabilistic","analog_circuit_design:rf ic; calibration:calibration","7","10.1109/TEST.2018.8624893","2-s2.0-85062430197"
"","","","design","2018","RouteNet: Routability prediction for mixed-size designs using convolutional neural network","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","routing:routability","212","10.1145/3240765.3240843","2-s2.0-85058191295"
"","","","design","2019","3D heterogeneous integration of high performance high-K metal gate GaN NMOS and Si PMOS transistors on 300mm high-resistivity Si substrate for energy-efficient and compact power delivery, RF (5G and beyond) and SoC applications","Technical Digest International Electron Devices Meeting Iedm","generative_adversarial","power_analysis:power delivery","103","10.1109/IEDM19573.2019.8993583","2-s2.0-85081044967"
"","","","design","2019","A deep-reinforcement-learning-based scheduler for FPGA HLS","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","general_ml_signals","logic_synthesis:hls","12","10.1109/ICCAD45719.2019.8942126","2-s2.0-85077793860"
"","","","design","2019","Accelerating FPGA prototyping through predictive model-based HLS design space exploration","Proceedings Design Automation Conference","general_ml_signals","logic_synthesis:hls; design_space_exploration:design space exploration","43","10.1145/3316781.3317754","2-s2.0-85067805302"
"","","","design","2019","An efficient multi-fidelity Bayesian optimization approach for analog circuit synthesis","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:analog circuit","49","10.1145/3316781.3317765","2-s2.0-85067793777"
"","","","design","2019","ChipSecure: A reconfigurable analog eFlash-based PUF with machine learning attack resiliency in 55nm CMOS","Proceedings Design Automation Conference","classical_ml","security_analysis:puf","16","10.1145/3316781.3324890","2-s2.0-85067827292"
"","","","design","2019","DREAMPlace: Deep learning toolkit-enabled GPU acceleration for modern VLSI placement","Proceedings Design Automation Conference","deep_learning","placement:placement","175","10.1145/3316781.3317803","2-s2.0-85067803037"
"","","","design","2019","Enabling high-dimensional Bayesian optimization for efficient failure detection of analog and mixed-signal circuits","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:mixed-signal circuit","17","10.1145/3316781.3317818","2-s2.0-85067832464"
"","","","design","2019","Finding placement-relevant clusters with fast modularity-based clustering","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","placement:placement","14","10.1145/3287624.3287676","2-s2.0-85061135272"
"","","","design","2019","GeniusRoute: A new analog routing paradigm using generative neural network guidance","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","routing:routing","82","10.1109/ICCAD45719.2019.8942164","2-s2.0-85077793229"
"","","","design","2019","IncPIRD: Fast learning-based prediction of incremental IR drop","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","general_ml_signals","power_analysis:ir drop","57","10.1109/ICCAD45719.2019.8942110","2-s2.0-85077791630"
"","","","design","2019","Late breaking results: Analog circuit generator based on deep neural network enhanced combinatorial optimization","Proceedings Design Automation Conference","deep_learning","analog_circuit_design:analog circuit","16","10.1145/3316781.3322468","2-s2.0-85067793922"
"","","","design","2019","Machine Learning Based Routing Congestion Prediction in FPGA High-Level Synthesis","Proceedings of the 2019 Design Automation and Test in Europe Conference and Exhibition Date 2019","classical_ml","routing:routing; logic_synthesis:high-level synthesis","55","10.23919/DATE.2019.8714724","2-s2.0-85066625484"
"","","","design","2019","Machine Learning-enhanced Multi-dimensional Co-Optimization of Sub-10nm Technology Node Options","Technical Digest International Electron Devices Meeting Iedm","classical_ml","design_space_exploration:co-optimization","17","10.1109/IEDM19573.2019.8993557","2-s2.0-85081050105"
"","","","design","2019","Neural network-inspired analog-to-digital conversion to achieve super-resolution with low-precision RRAM devices","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","analog_circuit_design:analog-to-digital","7","10.1109/ICCAD45719.2019.8942099","2-s2.0-85077791147"
"","","","design","2019","Routability-Driven Macro Placement with Embedded CNN-Based Prediction Model","Proceedings of the 2019 Design Automation and Test in Europe Conference and Exhibition Date 2019","deep_learning; general_ml_signals","placement:placement; routing:routability","58","10.23919/DATE.2019.8715126","2-s2.0-85066604604"
"","","","design","2019","TCAD-Enabled machine learning defect prediction to accelerate advanced semiconductor device failure analysis","International Conference on Simulation of Semiconductor Processes and Devices SISPAD","classical_ml","fault_diagnosis:failure analysis","49","10.1109/SISPAD.2019.8870440","2-s2.0-85074352385"
"","","","design","2019","Tackling signal electromigration with learning-based detection and multistage mitigation","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","general_ml_signals","reliability_analysis:electromigration","4","10.1145/3287624.3287688","2-s2.0-85061129309"
"","","","design","2020","A Customized Graph Neural Network Model for Guiding Analog IC Placement","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning; graph_neural_networks","placement:placement; analog_circuit_design:analog ic","75","10.1145/3400302.3415624","2-s2.0-85096337457"
"","","","design","2020","A Reinforcement Learning Approach to Directed Test Generation for Shared Memory Verification","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","reinforcement_learning","verification:verification; test_generation:test generation","17","10.23919/DATE48585.2020.9116198","2-s2.0-85087391361"
"","","","design","2020","A Routability-Driven Complimentary-FET (CFET) Standard Cell Synthesis Framework using SMT","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","symbolic_reasoning","routing:routability","14","10.1145/3400302.3415611","2-s2.0-85097960843"
"","","","design","2020","An efficient asynchronous batch bayesian optimization approach for analog circuit synthesis","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:analog circuit","44","10.1109/DAC18072.2020.9218592","2-s2.0-85093940047"
"","","","design","2020","AutoCkt: Deep Reinforcement Learning of Analog Circuit Designs","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","reinforcement_learning","analog_circuit_design:analog circuit","219","10.23919/DATE48585.2020.9116200","2-s2.0-85087386606"
"","","","design","2020","Bayesian Methods for the Yield Optimization of Analog and SRAM Circuits","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","bayesian_probabilistic","yield_prediction:yield optimization","21","10.1109/ASP-DAC47756.2020.9045614","2-s2.0-85083027212"
"","","","design","2020","CEPA: CNN-based Early Performance Assertion Scheme for Analog and Mixed-Signal Circuit Simulation","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","analog_circuit_design:mixed-signal circuit; verification:assertion","12","10.1145/3400302.3415686","2-s2.0-85097941953"
"","","","design","2020","Cell Library Characterization using Machine Learning for Design Technology Co-Optimization","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","classical_ml","design_space_exploration:co-optimization","29","10.1145/3400302.3415713","2-s2.0-85097941108"
"","","","design","2020","Closing the design loop: Bayesian optimization assisted hierarchical analog layout synthesis","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:analog layout","25","10.1109/DAC18072.2020.9218621","2-s2.0-85091039749"
"","","","design","2020","Double feature extraction method for wafer map classification based on convolution neural network","Asmc Advanced Semiconductor Manufacturing Conference Proceedings","deep_learning","wafer_map_analysis:wafer map","18","10.1109/ASMC49169.2020.9185393","2-s2.0-85091402108"
"","","","design","2020","Explainable DRC Hotspot Prediction with Random Forest and SHAP Tree Explainer","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","classical_ml","hotspot_detection:hotspot","34","10.23919/DATE48585.2020.9116488","2-s2.0-85087386823"
"","","","design","2020","Exploring RRAM Variability as Synapses on Inception Simulation Framework to Characterize the Prediction Accuracy and Power Estimation per Bit for Convolution Neural Network","Proceedings of the International Symposium on the Physical and Failure Analysis of Integrated Circuits IPFA","deep_learning","power_analysis:power estimation","1","10.1109/IPFA49335.2020.9260780","2-s2.0-85098115569"
"","","","design","2020","Fast IR Drop Estimation with Machine Learning : Invited Paper","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","classical_ml","power_analysis:ir drop","25","10.1145/3400302.3415763","2-s2.0-85097927981"
"","","","design","2020","GANA: Graph Convolutional Network Based Automated Netlist Annotation for Analog Circuits","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","graph_neural_networks","analog_circuit_design:analog circuit","93","10.23919/DATE48585.2020.9116329","2-s2.0-85082559920"
"","","","design","2020","HL-Pow: A Learning-Based Power Modeling Framework for High-Level Synthesis","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","general_ml_signals","logic_synthesis:high-level synthesis","36","10.1109/ASP-DAC47756.2020.9045442","2-s2.0-85083038817"
"","","","design","2020","PROS: A Plug-in for Routability Optimization applied in the State-of-the-art commercial EDA tool using deep learning","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning","routing:routability; logic_synthesis:eda","61","10.1145/3400302.3415662","2-s2.0-85097954233"
"","","","design","2020","PowerPlanningDL: Reliability-Aware Framework for On-Chip Power Grid Design using Deep Learning","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","deep_learning","power_analysis:power grid; reliability_analysis:reliability","15","10.23919/DATE48585.2020.9116536","2-s2.0-85087426347"
"","","","design","2020","Towards Decrypting the Art of Analog Layout: Placement Quality Prediction via Transfer Learning","Proceedings of the 2020 Design Automation and Test in Europe Conference and Exhibition Date 2020","transfer_learning","placement:placement; analog_circuit_design:analog layout","54","10.23919/DATE48585.2020.9116330","2-s2.0-85087425785"
"","","","design","2020","Transfer Learning with Bayesian Optimization-Aided Sampling for Efficient AMS Circuit Modeling","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","bayesian_probabilistic; transfer_learning","calibration:circuit modeling","34","10.1145/3400302.3415687","2-s2.0-85097964626"
"","","","design","2020","VLSI Mask Optimization: From Shallow to Deep Learning","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","deep_learning","lithography_optimization:mask optimization","12","10.1109/ASP-DAC47756.2020.9045241","2-s2.0-85083027607"
"","","","design","2020","VLSI Placement Parameter Optimization using Deep Reinforcement Learning","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","reinforcement_learning","placement:placement","101","10.1145/3400302.3415690","2-s2.0-85097932157"
"","","","design","2020","iTPlace: Machine Learning-Based Delay-Aware Transistor Placement for Standard Cell Synthesis","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","classical_ml; general_ml_signals","placement:placement","10","10.1145/3400302.3415613","2-s2.0-85097952734"
"","","","design","2021","A Novel Framework for DTCO: Fast and Automatic Routability Assessment with Machine Learning for Sub-3nm Technology Options","Digest of Technical Papers Symposium on VLSI Technology","classical_ml","routing:routability; process_optimization:dtco","8","","2-s2.0-85125439295"
"","","","design","2021","A Robust Batch Bayesian Optimization for Analog Circuit Synthesis via Local Penalization","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","bayesian_probabilistic","analog_circuit_design:analog circuit","5","10.1145/3394885.3431543","2-s2.0-85100520663"
"","","","design","2021","Analog IC Aging-induced Degradation Estimation via Heterogeneous Graph Convolutional Networks","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","graph_neural_networks","analog_circuit_design:analog ic; reliability_analysis:aging","20","10.1145/3394885.3431546","2-s2.0-85100545155"
"","","","design","2021","Automated Compensation Scheme Design for Operational Amplifier via Bayesian Optimization","Proceedings Design Automation Conference","bayesian_probabilistic","analog_circuit_design:operational amplifier","28","10.1109/DAC18074.2021.9586306","2-s2.0-85119441575"
"","","","design","2021","Bayesian Inference on Introduced General Region: An Efficient Parametric Yield Estimation Method for Integrated Circuits","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","bayesian_probabilistic","yield_prediction:yield estimation","1","10.1145/3394885.3431572","2-s2.0-85100540002"
"","","","design","2021","Fast and Efficient Constraint Evaluation of Analog Layout Using Machine Learning Models","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","analog_circuit_design:analog layout","8","10.1145/3394885.3431547","2-s2.0-85100576171"
"","","","design","2021","From Specification to Silicon: Towards Analog/Mixed-Signal Design Automation using Surrogate NN Models with Transfer Learning","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","transfer_learning","logic_synthesis:design automation","23","10.1109/ICCAD51958.2021.9643445","2-s2.0-85121629564"
"","","","design","2021","Generalizable Cross-Graph Embedding for GNN-based Congestion Prediction","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","graph_neural_networks","routing:congestion","40","10.1109/ICCAD51958.2021.9643446","2-s2.0-85124138813"
"","","","design","2021","Global Placement with Deep Learning-Enabled Explicit Routability Optimization","Proceedings Design Automation and Test in Europe Date","deep_learning","placement:placement; routing:routability","69","10.23919/DATE51398.2021.9473959","2-s2.0-85105109822"
"","","","design","2021","HOST: HLS Obfuscations against SMT ATtack","Proceedings Design Automation and Test in Europe Date","symbolic_reasoning","logic_synthesis:hls","9","10.23919/DATE51398.2021.9473927","2-s2.0-85111050353"
"","","","design","2021","Late Breaking Results: Attention in Graph2Seq Neural Networks towards Push-Button Analog IC Placement","Proceedings Design Automation Conference","deep_learning","placement:placement; analog_circuit_design:analog ic","8","10.1109/DAC18074.2021.9586177","2-s2.0-85119445749"
"","","","design","2021","Layout Symmetry Annotation for Analog Circuits with Graph Neural Networks","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","deep_learning; graph_neural_networks","analog_circuit_design:analog circuit","45","10.1145/3394885.3431545","2-s2.0-85100529224"
"","","","design","2021","Machine Learning Framework for Early Routability Prediction with Artificial Netlist Generator","Proceedings Design Automation and Test in Europe Date","classical_ml","routing:routability","16","10.23919/DATE51398.2021.9473966","2-s2.0-85102886652"
"","","","design","2021","Machine Learning for Circuit Aging Estimation under Workload Dependency","Proceedings International Test Conference","classical_ml","reliability_analysis:aging","23","10.1109/ITC50571.2021.00011","2-s2.0-85123058459"
"","","","design","2021","Parasitic-Aware Analog Circuit Sizing with Graph Neural Networks and Bayesian Optimization","Proceedings Design Automation and Test in Europe Date","bayesian_probabilistic; deep_learning; graph_neural_networks","analog_circuit_design:analog circuit","52","10.23919/DATE51398.2021.9474253","2-s2.0-85111041615"
"","","","design","2021","Prioritized Reinforcement Learning for Analog Circuit Optimization with Design Knowledge","Proceedings Design Automation Conference","reinforcement_learning","analog_circuit_design:analog circuit","35","10.1109/DAC18074.2021.9586189","2-s2.0-85119405954"
"","","","design","2021","RL-Sizer: VLSI Gate Sizing for Timing Optimization using Deep Reinforcement Learning","Proceedings Design Automation Conference","reinforcement_learning","timing_analysis:timing optimization; logic_synthesis:gate sizing","68","10.1109/DAC18074.2021.9586138","2-s2.0-85119412288"
"","","","design","2021","Standard Cell Routing with Reinforcement Learning and Genetic Algorithm in Advanced Technology Nodes","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","evolutionary_optimization; reinforcement_learning","routing:routing","15","10.1145/3394885.3431569","2-s2.0-85100585597"
"","","","design","2021","Trust-Region Method with Deep Reinforcement Learning in Analog Design Space Exploration","Proceedings Design Automation Conference","reinforcement_learning","design_space_exploration:design space exploration; analog_circuit_design:analog design","32","10.1109/DAC18074.2021.9586087","2-s2.0-85119403725"
"","","","design","2021","Universal Symmetry Constraint Extraction for Analog and Mixed-Signal Circuits with Graph Neural Networks","Proceedings Design Automation Conference","deep_learning; graph_neural_networks","analog_circuit_design:mixed-signal circuit","45","10.1109/DAC18074.2021.9586211","2-s2.0-85115831877"
"","","","design","2022","A Graph Neural Network Method for Fast ECO Leakage Power Optimization","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","deep_learning; graph_neural_networks","power_analysis:power optimization","7","10.1109/ASP-DAC52403.2022.9712486","2-s2.0-85126096242"
"","","","design","2022","A Novel and Efficient Bayesian Optimization Approach for Analog Designs with Multi-Testbench","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","bayesian_probabilistic","analog_circuit_design:analog design","6","10.1109/ASP-DAC52403.2022.9712590","2-s2.0-85126143158"
"","","","design","2022","An Efficient Kriging-based Constrained Multi-objective Evolutionary Algorithm for Analog Circuit Synthesis via Self-adaptive Incremental Learning","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","evolutionary_optimization","analog_circuit_design:analog circuit","4","10.1109/ASP-DAC52403.2022.9712601","2-s2.0-85126128035"
"","","","design","2022","Analog/Mixed-Signal Circuit Synthesis Enabled by the Advancements of Circuit Architectures and Machine Learning Algorithms","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","classical_ml","analog_circuit_design:circuit synthesis","7","10.1109/ASP-DAC52403.2022.9712577","2-s2.0-85126140603"
"","","","design","2022","Applying GNNs to timing estimation at RTL","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","graph_neural_networks","logic_synthesis:rtl","25","10.1145/3508352.3561095","2-s2.0-85145654057"
"","","","design","2022","Deep Reinforcement Learning for Analog Circuit Structure Synthesis","Proceedings of the 2022 Design Automation and Test in Europe Conference and Exhibition Date 2022","reinforcement_learning","analog_circuit_design:analog circuit","15","10.23919/DATE54114.2022.9774699","2-s2.0-85130857618"
"","","","design","2022","Deep learning acceleration in 14nm CMOS compatible ReRAM array: device, material and algorithm co-optimization","Technical Digest International Electron Devices Meeting Iedm","deep_learning","design_space_exploration:co-optimization","22","10.1109/IEDM45625.2022.10019569","2-s2.0-85147533406"
"","","","design","2022","Embracing graph neural networks for hardware security","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning; graph_neural_networks","security_analysis:hardware security","25","10.1145/3508352.3561096","2-s2.0-85143715222"
"","","","design","2022","Fast Variation-aware Circuit Sizing Approach for Analog Design with ML-Assisted Evolutionary Algorithm","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","evolutionary_optimization","analog_circuit_design:analog design","7","10.1109/ASP-DAC52403.2022.9712559","2-s2.0-85126133108"
"","","","design","2022","Functional Testing of On-chip Analog/RF Circuits using Machine Learning based Regression Models","6th IEEE International Test Conference India Itc India 2022","classical_ml","analog_circuit_design:rf circuit","5","10.1109/ITCIndia202255192.2022.9854517","2-s2.0-85137173928"
"","","","design","2022","High-Level Synthesis Performance Prediction using GNNs: Benchmarking, Modeling, and Advancing","Proceedings Design Automation Conference","graph_neural_networks","logic_synthesis:high-level synthesis","69","10.1145/3489517.3530408","2-s2.0-85134715597"
"","","","design","2022","Invited: Generative Self-Supervised Learning for Gate Sizing","Proceedings Design Automation Conference","deep_learning","logic_synthesis:gate sizing","3","10.1145/3489517.3530645","2-s2.0-85137444933"
"","","","design","2022","PPATuner: Pareto-driven Tool Parameter Auto-tuning in Physical Design via Gaussian Process Transfer Learning","Proceedings Design Automation Conference","bayesian_probabilistic; transfer_learning","design_space_exploration:pareto","15","10.1145/3489517.3530602","2-s2.0-85137439941"
"","","","design","2022","Pin Accessibility-driven Placement Optimization with Accurate and Comprehensive Prediction Model","Proceedings of the 2022 Design Automation and Test in Europe Conference and Exhibition Date 2022","general_ml_signals","placement:placement","7","10.23919/DATE54114.2022.9774753","2-s2.0-85130798112"
"","","","design","2022","Pin accessibility and routing congestion aware DRC hotspot prediction using graph neural network and U-net","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning; graph_neural_networks","routing:routing; hotspot_detection:hotspot","36","10.1145/3508352.3549346","2-s2.0-85143701543"
"","","","design","2022","Reinforcement Learning for Electronic Design Automation: Case Studies and Perspectives: (Invited Paper)","Proceedings of the Asia and South Pacific Design Automation Conference ASP DAC","reinforcement_learning","logic_synthesis:design automation","23","10.1109/ASP-DAC52403.2022.9712578","2-s2.0-85126135598"
"","","","design","2022","Robustify ML-based lithography hotspot detectors","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","general_ml_signals","lithography_optimization:lithography; hotspot_detection:hotspot","6","10.1145/3508352.3549389","2-s2.0-85145656069"
"","","","design","2022","Routability-Aware Placement for Advanced FinFET Mixed-Signal Circuits using Satisfiability Modulo Theories","Proceedings of the 2022 Design Automation and Test in Europe Conference and Exhibition Date 2022","symbolic_reasoning","placement:placement; routing:routability; analog_circuit_design:mixed-signal circuit","5","10.23919/DATE54114.2022.9774766","2-s2.0-85128591931"
"","","","design","2022","Testing of Analog Circuits using Statistical and Machine Learning Techniques","Proceedings International Test Conference","classical_ml","analog_circuit_design:analog circuit","8","10.1109/ITC50671.2022.00087","2-s2.0-85146143969"
"","","","design","2022","The Policy-gradient Placement and Generative Routing Neural Networks for Chip Design","Advances in Neural Information Processing Systems","deep_learning","placement:placement; routing:routing","53","","2-s2.0-85160853489"
"","","","design","2022","Why are graph neural networks effective for EDA problems?","IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad","deep_learning; graph_neural_networks","logic_synthesis:eda","38","10.1145/3508352.3561093","2-s2.0-85145656519"
"","","","design","2023","AGD: A Learning-based Optimization Framework for EDA and its Application to Gate Sizing","Proceedings Design Automation Conference","general_ml_signals","logic_synthesis:eda","14","10.1109/DAC56929.2023.10247924","2-s2.0-85173088772"
"","","","design","2023","Automated Design of Complex Analog Circuits with Multiagent based Reinforcement Learning","Proceedings Design Automation Conference","reinforcement_learning","analog_circuit_design:analog circuit","28","10.1109/DAC56929.2023.10247909","2-s2.0-85173086345"
"","","","design","2023","Automatic TCAD Model Parameter Calibration using Autoencoder","International Conference on Simulation of Semiconductor Processes and Devices SISPAD","deep_learning","calibration:calibration","7","10.23919/SISPAD57422.2023.10319530","2-s2.0-85179139011"
"","","","design","2023","CKTGNN: CIRCUIT GRAPH NEURAL NETWORK FOR ELECTRONIC DESIGN AUTOMATION","11th International Conference on Learning Representations Iclr 2023","deep_learning; graph_neural_networks","logic_synthesis:design automation","47","","2-s2.0-85199912161"
"","","","design","2023","DeepTH: Chip Placement with Deep Reinforcement Learning Using a Three-Head Policy Network","Proceedings Design Automation and Test in Europe Date","reinforcement_learning","placement:placement","15","10.23919/DATE56975.2023.10137100","2-s2.0-85162704850"
